"","protein_id","length","cysteine_content","accession_hit","sequence_identity","alignment_length","evalue","bit_score","accession_hit_description","Ref_L","Ratio","Ref_length","Plot","nb_hits","Outlier"
"316","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01043531.1.p2",256,0.03515625,"Q71RP8",0.292,129,3.357e-09,59,"Snaclec stejaggregin-A subunit beta-3",148,1.72972972972973,148,"Plot 14",598,"Yes"
"317","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01070661.1.p1",280,0.0357142857142857,"Q71RP8",0.292,129,3.357e-09,59,"Snaclec stejaggregin-A subunit beta-3",148,1.89189189189189,148,"Plot 14",598,"Yes"
"318","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01035122.1.p1",224,0.0267857142857143,"Q71RP8",0.348,97,7.377e-09,58,"Snaclec stejaggregin-A subunit beta-3",148,1.51351351351351,148,"Plot 14",598,"Yes"
"319","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01023022.1.p1",629,0.0508744038155803,"Q71RP8",0.334,103,7.377e-09,58,"Snaclec stejaggregin-A subunit beta-3",148,4.25,148,"Plot 14",598,"Yes"
"320","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01026309.1.p2",252,0.0357142857142857,"Q71RP8",0.341,97,1.62e-08,57,"Snaclec stejaggregin-A subunit beta-3",148,1.7027027027027,148,"Plot 14",598,"Yes"
"321","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01054693.1.p1",256,0.03515625,"Q71RP8",0.284,129,1.62e-08,57,"Snaclec stejaggregin-A subunit beta-3",148,1.72972972972973,148,"Plot 14",598,"Yes"
"322","Crotalus_simus_GECP01.transdecoder.pep_id_GECP01000015.1.p1",288,0.0243055555555555,"Q71RP8",0.347,91,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,1.94594594594595,148,"Plot 14",598,"Yes"
"323","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01054046.1.p1",292,0.0308219178082192,"Q71RP8",0.265,140,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,1.97297297297297,148,"Plot 14",598,"Yes"
"324","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01029902.1.p1",292,0.0308219178082192,"Q71RP8",0.265,140,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,1.97297297297297,148,"Plot 14",598,"Yes"
"325","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01022496.1.p1",292,0.0308219178082192,"Q71RP8",0.265,140,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,1.97297297297297,148,"Plot 14",598,"Yes"
"326","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01022390.1.p1",292,0.0308219178082192,"Q71RP8",0.265,140,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,1.97297297297297,148,"Plot 14",598,"Yes"
"327","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01042881.1.p1",292,0.0308219178082192,"Q71RP8",0.265,140,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,1.97297297297297,148,"Plot 14",598,"Yes"
"328","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01067938.1.p1",292,0.0308219178082192,"Q71RP8",0.265,140,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,1.97297297297297,148,"Plot 14",598,"Yes"
"329","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01031373.1.p1",294,0.0306122448979592,"Q71RP8",0.265,140,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,1.98648648648649,148,"Plot 14",598,"Yes"
"330","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01020122.1.p1",299,0.0301003344481605,"Q71RP8",0.265,140,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,2.02027027027027,148,"Plot 14",598,"Yes"
"331","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01035444.1.p1",299,0.0301003344481605,"Q71RP8",0.265,140,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,2.02027027027027,148,"Plot 14",598,"Yes"
"332","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01045045.1.p1",299,0.0301003344481605,"Q71RP8",0.265,140,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,2.02027027027027,148,"Plot 14",598,"Yes"
"333","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01013995.1.p1",299,0.0301003344481605,"Q71RP8",0.265,140,7.802e-08,55,"Snaclec stejaggregin-A subunit beta-3",148,2.02027027027027,148,"Plot 14",598,"Yes"
"334","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01032002.1.p1",287,0.0313588850174216,"Q71RP8",0.266,137,1.71e-07,54,"Snaclec stejaggregin-A subunit beta-3",148,1.93918918918919,148,"Plot 14",598,"Yes"
"335","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01065574.1.p1",289,0.0346020761245675,"Q71RP8",0.277,128,1.71e-07,54,"Snaclec stejaggregin-A subunit beta-3",148,1.9527027027027,148,"Plot 14",598,"Yes"
"336","Crotalus_simus_GECP01.transdecoder.pep_id_GECP01000107.1.p1",318,0.0314465408805031,"Q71RP8",0.281,123,3.747e-07,53,"Snaclec stejaggregin-A subunit beta-3",148,2.14864864864865,148,"Plot 14",598,"Yes"
"337","Crotalus_simus_GECP01.transdecoder.pep_id_GECP01000271.1.p1",310,0.032258064516129,"Q71RP8",0.278,123,8.203e-07,52,"Snaclec stejaggregin-A subunit beta-3",148,2.09459459459459,148,"Plot 14",598,"Yes"
"338","Crotalus_simus_GECP01.transdecoder.pep_id_GECP01000075.1.p1",329,0.0303951367781155,"Q71RP8",0.278,123,8.203e-07,52,"Snaclec stejaggregin-A subunit beta-3",148,2.22297297297297,148,"Plot 14",598,"Yes"
"339","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01048900.1.p1",406,0.0295566502463054,"Q71RP8",0.268,115,8.87e-05,46,"Snaclec stejaggregin-A subunit beta-3",148,2.74324324324324,148,"Plot 14",598,"Yes"
"340","Crotalus_durissus_terrificus_HAGK01.transdecoder.pep_id_HAGK01000031.1.p1",510,0.0705882352941176,"Q6T269",0.475,123,2.122e-26,109,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,3.37748344370861,151,"Plot 14",382,"Yes"
"341","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01000542.1.p1",577,0.0658578856152513,"Q6T269",0.498,114,4.711e-26,108,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,3.82119205298013,151,"Plot 14",382,"Yes"
"342","Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01038815.1.p1",938,0.0490405117270789,"Q6T269",0.553,56,3.461e-10,62,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,6.21192052980132,151,"Plot 14",382,"Yes"
"343","Mulenga_Aam-471922",1628,0.108108108108108,"Q6T269",0.581,114,1.117e-33,130,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,10.7814569536424,151,"Plot 14",382,"Yes"
"344","Aam-471922",1628,0.108108108108108,"Q6T269",0.581,114,1.117e-33,130,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,10.7814569536424,151,"Plot 14",382,"Yes"
"345","Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01037663.1.p1",1562,0.0320102432778489,"Q6T269",0.476,64,3.673e-09,59,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,10.3443708609272,151,"Plot 14",382,"Yes"
"346","Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01037668.1.p1",1899,0.028436018957346,"Q6T269",0.476,64,3.673e-09,59,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,12.5761589403974,151,"Plot 14",382,"Yes"
"347","Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01037664.1.p1",1979,0.0277918140474987,"Q6T269",0.476,64,3.673e-09,59,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,13.1059602649007,151,"Plot 14",382,"Yes"
"348","Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01037669.1.p1",1987,0.0276799194765979,"Q6T269",0.476,64,3.673e-09,59,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,13.158940397351,151,"Plot 14",382,"Yes"
"349","Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01037666.1.p1",1996,0.0270541082164329,"Q6T269",0.476,64,3.673e-09,59,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,13.2185430463576,151,"Plot 14",382,"Yes"
"350","Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01037667.1.p1",2039,0.0264835703776361,"Q6T269",0.476,64,3.673e-09,59,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,13.5033112582781,151,"Plot 14",382,"Yes"
"351","MAA11573.1",470,0.0574468085106383,"Q6T269",0.32,122,7.149e-11,64,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,3.11258278145695,151,"Plot 14",382,"Yes"
"352","JAP84674.1",474,0.0632911392405063,"Q6T269",0.58,50,3.673e-09,59,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,3.13907284768212,151,"Plot 14",382,"Yes"
"353","MAA11557.1",534,0.0411985018726592,"Q6T269",0.314,91,2.016e-05,48,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,3.5364238410596,151,"Plot 14",382,"Yes"
"354","Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01001283.1.p1",729,0.0919067215363512,"Q6T269",0.367,124,4.98e-16,79,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,4.82781456953642,151,"Plot 14",382,"Yes"
"355","MAA11558.1",534,0.0411985018726592,"Q6T269",0.329,91,1.944e-06,51,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,3.5364238410596,151,"Plot 14",382,"Yes"
"356","JAA71186.1",397,0.0780856423173804,"Q6T269",0.341,111,7.149e-11,64,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,2.62913907284768,151,"Plot 14",382,"Yes"
"357","MAA11555.1",386,0.0984455958549223,"Q6T269",0.321,108,1.769e-08,57,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,2.55629139072848,151,"Plot 14",382,"Yes"
"358","MAA11786.1",444,0.0495495495495495,"Q6T269",0.322,125,1.474e-11,66,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,2.94039735099338,151,"Plot 14",382,"Yes"
"359","MAA11735.1",1087,0.0257589696412143,"Q6T269",0.317,105,8.497e-08,55,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,7.19867549668874,151,"Plot 14",382,"Yes"
"360","MAA11736.1",1093,0.0256175663311985,"Q6T269",0.317,105,8.497e-08,55,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,7.23841059602649,151,"Plot 14",382,"Yes"
"361","JAP88190.1",482,0.0622406639004149,"Q6T269",0.303,105,1.944e-06,51,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,3.19205298013245,151,"Plot 14",382,"Yes"
"362","KAG0431670.1",620,0.0435483870967742,"Q6T269",0.281,112,9.254e-06,49,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,4.10596026490066,151,"Plot 14",382,"Yes"
"363","EEC04094.1",801,0.0549313358302122,"Q6T269",0.281,112,9.254e-06,49,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,5.3046357615894,151,"Plot 14",382,"Yes"
"364","JAP86220.1",1043,0.0469798657718121,"Q6T269",0.304,96,2.016e-05,48,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,6.90728476821192,151,"Plot 14",382,"Yes"
"365","MAA11768.1",524,0.0477099236641221,"Q6T269",0.278,106,9.54e-05,46,"Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)",151,3.47019867549669,151,"Plot 14",382,"Yes"
"366","KAH7973562.1",320,0.053125,"A5X2X1",0.439,82,6.909e-12,67,"Fused toxin protein",152,2.10526315789474,152,"Plot 15",129,"Yes"
"367","JAP84759.1",275,0.0436363636363636,"A5X2X1",0.542,59,7.376e-11,64,"Fused toxin protein",152,1.80921052631579,152,"Plot 15",129,"Yes"
"368","KAH7942222.1",599,0.0333889816360601,"A5X2X1",0.535,54,8.301e-09,58,"Fused toxin protein",152,3.94078947368421,152,"Plot 15",129,"Yes"
"369","KAH7979439.1",588,0.032312925170068,"A5X2X1",0.43,58,2.067e-05,48,"Fused toxin protein",152,3.86842105263158,152,"Plot 15",129,"Yes"
"370","MXU98353.1",329,0.0759878419452888,"A5X2X1",0.367,69,9.77e-05,46,"Fused toxin protein",152,2.16447368421053,152,"Plot 15",129,"Yes"
"371","JAA71308.1",346,0.0809248554913295,"A5X2X1",0.337,78,9.77e-05,46,"Fused toxin protein",152,2.27631578947368,152,"Plot 15",129,"Yes"
"372","Mulenga_Aam-361640",293,0.0614334470989761,"A5X2X1",0.366,66,0.0004597,44,"Fused toxin protein",152,1.92763157894737,152,"Plot 15",129,"Yes"
"373","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01015097.1.p1",232,0.0517241379310345,"Q9W7J4",0.575,121,1.052e-35,136,"Acidic phospholipase A2 1 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Pt-PLA1)",154,1.50649350649351,154,"Plot 15",193,"Yes"
"374","KAH9368847.1",310,0.0516129032258065,"Q8WS88",0.402,112,1.215e-16,81,"Phospholipase A2 A2-hormotoxin-Apt1a (A2-HRTX-Apt1a) (AcPLA2) (EC 3.1.1.4) (Acarc) (Phosphatidylcholine 2-acylhydrolase)",156,1.98717948717949,156,"Plot 15",14,"Yes"
"375","KAH6929682.1",547,0.0292504570383912,"Q8WS88",0.397,112,5.93e-16,79,"Phospholipase A2 A2-hormotoxin-Apt1a (A2-HRTX-Apt1a) (AcPLA2) (EC 3.1.1.4) (Acarc) (Phosphatidylcholine 2-acylhydrolase)",156,3.50641025641026,156,"Plot 15",14,"Yes"
"376","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01059841.1.p1",283,0.0212014134275618,"Q8AY75",0.464,150,3.057e-33,129,"Calglandulin",156,1.81410256410256,156,"Plot 15",747,"Yes"
"377","KAH7967756.1",250,0.004,"Q8AY75",0.454,144,1.81e-30,121,"Calglandulin",156,1.6025641025641,156,"Plot 15",747,"Yes"
"378","Mulenga_Aam-332951",273,0.00366300366300366,"Q8AY75",0.456,144,1.81e-30,121,"Calglandulin",156,1.75,156,"Plot 15",747,"Yes"
"379","KAH8041052.1",565,0.0123893805309734,"Q8AY75",0.431,147,2.167e-28,115,"Calglandulin",156,3.62179487179487,156,"Plot 15",747,"Yes"
"380","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01012213.1.p2",266,0.018796992481203,"Q8AY75",0.388,148,1.516e-23,101,"Calglandulin",156,1.7051282051282,156,"Plot 15",747,"Yes"
"381","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01055529.1.p1",254,0.00393700787401574,"Q8AY75",0.385,147,7.449e-23,99,"Calglandulin",156,1.62820512820513,156,"Plot 15",747,"Yes"
"382","KAH9370330.1",631,0.0237717908082409,"Q8AY75",0.433,125,7.449e-23,99,"Calglandulin",156,4.0448717948718,156,"Plot 15",747,"Yes"
"383","KAG0433182.1",328,0.00304878048780487,"Q8AY75",0.372,147,3.98e-21,94,"Calglandulin",156,2.1025641025641,156,"Plot 15",747,"Yes"
"384","MOY42738.1",255,0.00392156862745098,"Q8AY75",0.367,148,8.816e-21,93,"Calglandulin",156,1.63461538461538,156,"Plot 15",747,"Yes"
"385","KAH7967755.1",265,0.00754716981132075,"Q8AY75",0.367,144,4.324e-20,91,"Calglandulin",156,1.69871794871795,156,"Plot 15",747,"Yes"
"386","KAH7958452.1",551,0.00544464609800362,"Q8AY75",0.357,141,2.297e-18,86,"Calglandulin",156,3.53205128205128,156,"Plot 15",747,"Yes"
"387","KAH6938951.1",273,0.0146520146520147,"Q8AY75",0.354,142,5.081e-18,85,"Calglandulin",156,1.75,156,"Plot 15",747,"Yes"
"388","KAG0431768.1",378,0.0291005291005291,"Q8AY75",0.345,146,5.081e-18,85,"Calglandulin",156,2.42307692307692,156,"Plot 15",747,"Yes"
"389","MCL6790949.1",275,0.0254545454545454,"Q8AY75",0.331,151,5.495e-17,82,"Calglandulin",156,1.76282051282051,156,"Plot 15",747,"Yes"
"390","MCL6788766.1",275,0.0254545454545454,"Q8AY75",0.355,135,1.215e-16,81,"Calglandulin",156,1.76282051282051,156,"Plot 15",747,"Yes"
"391","KAH8041027.1",255,0.0196078431372549,"Q8AY75",0.309,156,2.893e-15,77,"Calglandulin",156,1.63461538461538,156,"Plot 15",747,"Yes"
"392","JAC29971.1",260,0.0115384615384615,"Q8AY75",0.338,136,2.893e-15,77,"Calglandulin",156,1.66666666666667,156,"Plot 15",747,"Yes"
"393","MCL6775890.1",285,0.0175438596491228,"Q8AY75",0.338,136,2.893e-15,77,"Calglandulin",156,1.82692307692308,156,"Plot 15",747,"Yes"
"394","KAH6934712.1",324,0.00308641975308641,"Q8AY75",0.346,130,6.386e-15,76,"Calglandulin",156,2.07692307692308,156,"Plot 15",747,"Yes"
"395","KAH7952080.1",336,0.0148809523809524,"Q8AY75",0.323,145,6.386e-15,76,"Calglandulin",156,2.15384615384615,156,"Plot 15",747,"Yes"
"396","GBXQ01022709.1.p1",250,0.008,"Q8AY75",0.31,143,3.334e-13,71,"Calglandulin",156,1.6025641025641,156,"Plot 15",747,"Yes"
"397","KAH7946316.1",639,0.0140845070422535,"Q8AY75",0.315,139,3.334e-13,71,"Calglandulin",156,4.09615384615385,156,"Plot 15",747,"Yes"
"398","KAH8029447.1",304,0.00328947368421052,"Q8AY75",0.298,144,7.845e-12,67,"Calglandulin",156,1.94871794871795,156,"Plot 15",747,"Yes"
"399","KAH7966771.1",286,0.020979020979021,"Q8AY75",0.291,147,1.726e-11,66,"Calglandulin",156,1.83333333333333,156,"Plot 15",747,"Yes"
"400","KAH6921907.1",338,0.0029585798816568,"Q8AY75",0.295,144,1.726e-11,66,"Calglandulin",156,2.16666666666667,156,"Plot 15",747,"Yes"
"401","JAP86763.1",394,0.00253807106598984,"Q8AY75",0.292,144,3.796e-11,65,"Calglandulin",156,2.52564102564103,156,"Plot 15",747,"Yes"
"402","KAH7977875.1",331,0.00302114803625377,"Q8AY75",0.287,144,8.344e-11,64,"Calglandulin",156,2.12179487179487,156,"Plot 15",747,"Yes"
"403","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01022046.1.p1",331,0.0241691842900302,"Q8AY75",0.269,147,4.25e-09,59,"Calglandulin",156,2.12179487179487,156,"Plot 15",747,"Yes"
"404","KAH7985364.1",433,0.023094688221709,"Q8AY75",0.373,89,4.25e-09,59,"Calglandulin",156,2.77564102564103,156,"Plot 15",747,"Yes"
"405","MOY38674.1",252,0.00793650793650793,"Q8AY75",0.263,146,4.462e-08,56,"Calglandulin",156,1.61538461538462,156,"Plot 15",747,"Yes"
"406","KAH6930241.1",399,0.025062656641604,"Q8AY75",0.313,109,4.462e-08,56,"Calglandulin",156,2.55769230769231,156,"Plot 15",747,"Yes"
"407","KAH9380777.1",279,0.043010752688172,"Q8AY75",0.47,60,9.756e-08,55,"Calglandulin",156,1.78846153846154,156,"Plot 15",747,"Yes"
"408","Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01002947.1.p1",268,0.0111940298507463,"Q8AY75",0.399,69,2.213e-06,51,"Calglandulin",156,1.71794871794872,156,"Plot 15",747,"Yes"
"409","Boiga_irregularis_GBSH01_id_lcl|GBSH01001117.1_prot_JAG67908.1_1",726,0.0151515151515152,"Q8AY75",0.278,119,2.213e-06,51,"Calglandulin",156,4.65384615384615,156,"Plot 15",747,"Yes"
"410","KAH7974628.1",251,0.00796812749003984,"Q8AY75",0.445,59,4.819e-06,50,"Calglandulin",156,1.60897435897436,156,"Plot 15",747,"Yes"
"411","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01032610.1.p1",727,0.0137551581843191,"Q8AY75",0.276,119,4.819e-06,50,"Calglandulin",156,4.66025641025641,156,"Plot 15",747,"Yes"
"412","Trove_AA_3243",320,0.0125,"Q8AY75",0.262,128,1.048e-05,49,"Calglandulin",156,2.05128205128205,156,"Plot 15",747,"Yes"
"413","Trove_AA_48415",322,0.0062111801242236,"Q8AY75",0.262,128,1.048e-05,49,"Calglandulin",156,2.06410256410256,156,"Plot 15",747,"Yes"
"414","Trove_AA_56213",339,0.00589970501474926,"Q8AY75",0.262,128,1.048e-05,49,"Calglandulin",156,2.17307692307692,156,"Plot 15",747,"Yes"
"415","Trove_AA_54704",345,0.00869565217391304,"Q8AY75",0.262,128,1.048e-05,49,"Calglandulin",156,2.21153846153846,156,"Plot 15",747,"Yes"
"416","Trove_AA_51213",413,0.0145278450363196,"Q8AY75",0.262,128,1.048e-05,49,"Calglandulin",156,2.6474358974359,156,"Plot 15",747,"Yes"
"417","Trove_AA_57497",445,0.00898876404494382,"Q8AY75",0.262,128,1.048e-05,49,"Calglandulin",156,2.8525641025641,156,"Plot 15",747,"Yes"
"418","MBY10539.1",481,0.00623700623700623,"Q8AY75",0.261,128,1.048e-05,49,"Calglandulin",156,3.08333333333333,156,"Plot 15",747,"Yes"
"419","Mulenga_Aam-389200",482,0.00829875518672199,"Q8AY75",0.262,128,1.048e-05,49,"Calglandulin",156,3.08974358974359,156,"Plot 15",747,"Yes"
"420","Trove_AA_49524",482,0.00829875518672199,"Q8AY75",0.262,128,1.048e-05,49,"Calglandulin",156,3.08974358974359,156,"Plot 15",747,"Yes"
"421","JAC34454.1",482,0.00829875518672199,"Q8AY75",0.26,128,1.048e-05,49,"Calglandulin",156,3.08974358974359,156,"Plot 15",747,"Yes"
"422","MCL6769328.1",517,0.0135396518375242,"Q8AY75",0.26,128,1.048e-05,49,"Calglandulin",156,3.31410256410256,156,"Plot 15",747,"Yes"
"423","Trove_AA_49347",526,0.00950570342205323,"Q8AY75",0.262,128,1.048e-05,49,"Calglandulin",156,3.37179487179487,156,"Plot 15",747,"Yes"
"424","Trove_AA_51495",526,0.0114068441064639,"Q8AY75",0.262,128,1.048e-05,49,"Calglandulin",156,3.37179487179487,156,"Plot 15",747,"Yes"
"425","JAP63679.1",482,0.0103734439834025,"Q8AY75",0.252,128,4.946e-05,47,"Calglandulin",156,3.08974358974359,156,"Plot 15",747,"Yes"
"426","Crotalus_horridus_GBKC01_id_lcl|GBKC01001382.1_prot_JAG44688.1_1",726,0.0137741046831956,"Q8AY75",0.264,119,4.946e-05,47,"Calglandulin",156,4.65384615384615,156,"Plot 15",747,"Yes"
"427","Mulenga_Aam-341511",327,0.0152905198776758,"Q8AY75",0.249,131,0.0001072,46,"Calglandulin",156,2.09615384615385,156,"Plot 15",747,"Yes"
"428","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01070748.1.p1",470,0.0148936170212766,"Q8AY75",0.252,127,0.0001072,46,"Calglandulin",156,3.01282051282051,156,"Plot 15",747,"Yes"
"429","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01035675.1.p1",470,0.0148936170212766,"Q8AY75",0.252,127,0.0001072,46,"Calglandulin",156,3.01282051282051,156,"Plot 15",747,"Yes"
"430","JAP78311.1",482,0.0103734439834025,"Q8AY75",0.252,128,0.0001072,46,"Calglandulin",156,3.08974358974359,156,"Plot 15",747,"Yes"
"431","MAA23961.1",482,0.0103734439834025,"Q8AY75",0.252,128,0.0001072,46,"Calglandulin",156,3.08974358974359,156,"Plot 15",747,"Yes"
"432","Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01006809.1.p1",382,0.0130890052356021,"Q8AY75",0.242,133,0.0002323,45,"Calglandulin",156,2.44871794871795,156,"Plot 15",747,"Yes"
"433","KAG0420937.1",266,0.0150375939849624,"Q8AY75",0.321,80,0.0005024,44,"Calglandulin",156,1.7051282051282,156,"Plot 15",747,"Yes"
"434","MDC7211643.1",278,0.00719424460431654,"Q8AY75",0.321,80,0.0005024,44,"Calglandulin",156,1.78205128205128,156,"Plot 15",747,"Yes"
"435","Glycera_tridactyla_GARU01.transdecoder.pep_id_GARU01000861.1.p1",285,0,"Q8AY75",0.237,135,0.0005024,44,"Calglandulin",156,1.82692307692308,156,"Plot 15",747,"Yes"
"436","Glycera_tridactyla_GARU01.transdecoder.pep_id_GARU01000862.1.p1",285,0,"Q8AY75",0.237,135,0.0005024,44,"Calglandulin",156,1.82692307692308,156,"Plot 15",747,"Yes"
"437","KAG0433049.1",347,0.0115273775216138,"Q8AY75",0.234,140,0.0005024,44,"Calglandulin",156,2.22435897435897,156,"Plot 15",747,"Yes"
"438","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01070506.1.p1",1217,0.038619556285949,"Q66S03",0.415,127,2.01e-21,95,"Galactose-specific lectin nattectin (CTL)",159,7.65408805031447,159,"Plot 15",91,"Yes"
"439","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01055244.1.p1",1468,0.0361035422343324,"Q66S03",0.415,127,2.01e-21,95,"Galactose-specific lectin nattectin (CTL)",159,9.23270440251572,159,"Plot 15",91,"Yes"
"440","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01001596.1.p1",1124,0.0355871886120996,"Q66S03",0.384,127,2.557e-18,86,"Galactose-specific lectin nattectin (CTL)",159,7.06918238993711,159,"Plot 15",91,"Yes"
"441","Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01004525.1.p1",1084,0.040590405904059,"Q66S03",0.365,131,6.102e-17,82,"Galactose-specific lectin nattectin (CTL)",159,6.81761006289308,159,"Plot 15",91,"Yes"
"442","Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01026078.1.p1",1143,0.0411198600174978,"Q66S03",0.365,130,6.102e-17,82,"Galactose-specific lectin nattectin (CTL)",159,7.18867924528302,159,"Plot 15",91,"Yes"
"443","KAG0422500.1",1848,0.0503246753246753,"Q66S03",0.284,140,9.645e-10,61,"Galactose-specific lectin nattectin (CTL)",159,11.622641509434,159,"Plot 15",91,"Yes"
"444","Trove_AA_84400",1566,0.0530012771392082,"Q66S03",0.288,135,2.114e-09,60,"Galactose-specific lectin nattectin (CTL)",159,9.84905660377358,159,"Plot 15",91,"Yes"
"445","Trove_AA_196800",1736,0.0524193548387097,"Q66S03",0.288,135,2.114e-09,60,"Galactose-specific lectin nattectin (CTL)",159,10.9182389937107,159,"Plot 15",91,"Yes"
"446","Trove_AA_204236",1327,0.054257724189902,"Q66S03",0.295,114,5.031e-07,53,"Galactose-specific lectin nattectin (CTL)",159,8.34591194968553,159,"Plot 15",91,"Yes"
