Species,Cat,protein_id,toxin_hit,accession_hit_description,Toxin_hit_cat
Crotalus simus,Snake,Crotalus_simus_GECP01.transdecoder.pep_id_GECP01000254.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Crotalus simus,Snake,Crotalus_simus_GECP01.transdecoder.pep_id_GECP01000203.1.p1,O93516,Zinc metalloproteinase/disintegrin [Cleaved into: Snake venom metalloproteinase (SVMP) (EC 3.4.24.-); Disintegrin salmosin-2],Metalloproteinase
Crotalus simus,Snake,Crotalus_simus_GECP01.transdecoder.pep_id_GECP01000233.1.p1,D1MZV3,Natriuretic peptide,Natriuretic peptide
Crotalus simus,Snake,Crotalus_simus_GECP01.transdecoder.pep_id_GECP01000092.1.p2,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Dendroaspis jamesoni,Snake,Dendroaspis_jamesoni_jamesoni_GHPA01.transdecoder.pep_id_GHPA01000152.1.p2,A0A4P1LYC9,Dendroaspis polylepis MT9 (Three-finger toxin) (3FTx),3FTx
Dendroaspis jamesoni,Snake,Dendroaspis_jamesoni_kaimosae_GHPB01.transdecoder.pep_id_GHPB01000049.1.p1,Q0NZX8,Zinc metalloproteinase-disintegrin-like bothrojarin-3 (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP),Metalloproteinase
Dendroaspis polylepis,Snake,Dendroaspis_polylepis_GHPD01.transdecoder.pep_id_GHPD01000722.1.p1,P0CJ14,Venom protein 302,Other
Dendroaspis viridis,Snake,Dendroaspis_viridis_GHPC01.transdecoder.pep_id_GHPC01000014.1.p1,Q0NZX8,Zinc metalloproteinase-disintegrin-like bothrojarin-3 (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP),Metalloproteinase
Dispholidus typus,Snake,Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000568.1.p1,P31989,Zinc metalloproteinase/disintegrin [Cleaved into: Snake venom metalloproteinase (SVMP) (EC 3.4.24.-); Disintegrin jararacin (Platelet aggregation activation inhibitor); Disintegrin jararacin-AGEEC; Disintegrin jararacin-GEEC; Disintegrin jararacin-EC],Metalloproteinase
Dispholidus typus,Snake,Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000144.1.p1,Q0NZX8,Zinc metalloproteinase-disintegrin-like bothrojarin-3 (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP),Metalloproteinase
Erythrolamprus miliaris,Snake,Erythrolamprus_miliaris_GEFK01.transdecoder.pep_id_GEFK01000191.1.p1,P0C6S4,Disintegrin eristostatin,Disintegrin
Erythrolamprus miliaris,Snake,Erythrolamprus_miliaris_GEFK01.transdecoder.pep_id_GEFK01000187.1.p1,P0DJH4,Zinc metalloproteinase alsophinase (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP),Metalloproteinase
Erythrolamprus miliaris,Snake,Erythrolamprus_miliaris_GEFK01.transdecoder.pep_id_GEFK01000188.1.p1,P0DJH4,Zinc metalloproteinase alsophinase (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP),Metalloproteinase
Malpolon insignitus,Snake,Malpolon_insignitus_GFTV01.transdecoder.pep_id_GFTV01000075.1.p1,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8),Cysteine rich protein
Malpolon insignitus,Snake,Malpolon_insignitus_GFTV01.transdecoder.pep_id_GFTV01000057.1.p1,P86976,Zinc metalloproteinase barnettlysin-1 (EC 3.4.24.-) (Barnettlysin-I) (Snake venom metalloproteinase) (SVMP),Metalloproteinase
Micrurus fulvius,Snake,Micrurus_fulvius_GAEP01_id_lcl|GAEP01000821.1_prot_JAB54000.1_1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Naja atra,Snake,Naja_atra_GIJE01.transdecoder.pep_id_GIJE01000341.1.p1,A7X3W6,C-type lectin lectoxin-Enh2 (CTL),C-type Lectin
Naja atra,Snake,Naja_atra_GIJE01.transdecoder.pep_id_GIJE01000038.1.p1,Q0NZX8,Zinc metalloproteinase-disintegrin-like bothrojarin-3 (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP),Metalloproteinase
Naja naja,Snake,Naja_naja_GHRX01.transdecoder.pep_id_GHRX01000496.1.p1,P0DM53,C-type lectin galatrox (CTL),C-type Lectin
Naja nigricollis,Snake,Naja_nigricollis_GIJF01.transdecoder.pep_id_GIJF01000442.1.p1,A7X3W6,C-type lectin lectoxin-Enh2 (CTL),C-type Lectin
Naja nivea,Snake,Naja_nivea_GIJH01.transdecoder.pep_id_GIJH01000368.1.p1,A7X3W6,C-type lectin lectoxin-Enh2 (CTL),C-type Lectin
Naja nubiae,Snake,Naja_nubiae_GIJI01.transdecoder.pep_id_GIJI01001024.1.p1,A0A4P1LYC9,Dendroaspis polylepis MT9 (Three-finger toxin) (3FTx),3FTx
Naja pallida,Snake,Naja_pallida_GIJJ01.transdecoder.pep_id_GIJJ01000252.1.p1,A7X3W6,C-type lectin lectoxin-Enh2 (CTL),C-type Lectin
Phalotris mertensi,Snake,Phalotris_mertensi_GEHL01_id_lcl|GEHL01006881.1_prot_JAS03113.1_1,P0C6S0,Snake venom metalloproteinase BnP1 (SVMP) (EC 3.4.24.-),Metalloproteinase
Phalotris mertensi,Snake,Phalotris_mertensi_GEHL01_id_lcl|GEHL01006887.1_prot_JAS03119.1_1,P0DJH4,Zinc metalloproteinase alsophinase (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP),Metalloproteinase
Phalotris mertensi,Snake,Phalotris_mertensi_GEHL01_id_lcl|GEHL01006889.1_prot_JAS03121.1_1,Q0NZX8,Zinc metalloproteinase-disintegrin-like bothrojarin-3 (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP),Metalloproteinase
Phalotris mertensi,Snake,Phalotris_mertensi_GEHL01_id_lcl|GEHL01006909.1_prot_JAS03141.1_1,D1MZV3,Natriuretic peptide,Natriuretic peptide
Philodryas olfersii,Snake,Philodryas_olfersii_GEFE01.transdecoder.pep_id_GEFE01000068.1.p1,Q6T6T2,Disintegrin gabonin-2 (Bitisgabonin-2),Disintegrin
Pseudagkistrodon rudis,Snake,Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01015098.1.p1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Sistrurus miliarius,Snake,Sistrurus_miliarius_barbouri_GDBJ01_id_lcl|GDBJ01000119.1_prot_JAS05370.1_1,B3EWP2,Hyaluronidase CdtHya1 (Hya) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor),Hyaluronidase
Sistrurus miliarius,Snake,Sistrurus_miliarius_barbouri_GDBJ01_id_lcl|GDBJ01000042.1_prot_JAS05447.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Sistrurus miliarius,Snake,Sistrurus_miliarius_barbouri_GDBJ01_id_lcl|GDBJ01000045.1_prot_JAS05444.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Sistrurus miliarius,Snake,Sistrurus_miliarius_barbouri_GDBJ01_id_lcl|GDBJ01000041.1_prot_JAS05448.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Sistrurus miliarius,Snake,Sistrurus_miliarius_barbouri_GDBJ01_id_lcl|GDBJ01000043.1_prot_JAS05446.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Sistrurus miliarius,Snake,Sistrurus_miliarius_barbouri_GDBJ01_id_lcl|GDBJ01000044.1_prot_JAS05445.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Thamnodynastes strigatus,Snake,Thamnodynastes_strigatus_GEFC01.transdecoder.pep_id_GEFC01000037.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Vermicella annulata,Snake,Vermicella_annulata_GAHJ01_id_lcl|GAHJ01000023.1_prot_JAA74992.1_1,P17347,Disintegrin metalloproteinase/disintegrin echistatin [Cleaved into: Snake venom metalloproteinase (SVMP) (EC 3.4.24.-); Disintegrin echistatin (Ech) (Carinatin) (Disintegrin echistatin-alpha-1) (Platelet aggregation activation inhibitor); Disintegrin echistatin-alpha-2],Metalloproteinase
Vipera aspis,Snake,Vipera_aspis_GIJB01.transdecoder.pep_id_GIJB01000593.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Hadrurus spadix,Scorpion,Hadrurus_spadix_GFAH01_id_lcl|GFAH01000160.1_prot_JAV48229.1_1,B1P1J3,Cystatin-1 (Cystatin JZTX-75),Cysteine protease inhibitor
Hadrurus spadix,Scorpion,Hadrurus_spadix_GFAH01_id_lcl|GFAH01000031.1_prot_JAV48358.1_1,P0C166,Potassium channel toxin alpha-KTx 6.12 (Anuroctoxin),Neurotoxin
Hadrurus spadix,Scorpion,Hadrurus_spadix_GFAH01_id_lcl|GFAH01000050.1_prot_JAV48339.1_1,P0C166,Potassium channel toxin alpha-KTx 6.12 (Anuroctoxin),Neurotoxin
Hadrurus spadix,Scorpion,Hadrurus_spadix_GFAH01_id_lcl|GFAH01000165.1_prot_JAV48224.1_1,A9QQ26,Venom allergen 5 (Antigen 5),Other
Hadrurus spadix,Scorpion,Hadrurus_spadix_GFAH01_id_lcl|GFAH01000283.1_prot_JAV48106.1_1,Q58L90,Venom prothrombin activator omicarin-C non-catalytic subunit (vPA) (Venom coagulation factor Va-like protein) [Cleaved into: Omicarin-C non-catalytic subunit heavy chain; Omicarin-C non-catalytic subunit light chain],prothrombin activator
Megacormus gertschi,Scorpion,Megacormus_gertschi_GFBG01_id_lcl|GFBG01000120.1_prot_JAW07047.1_1,P0C166,Potassium channel toxin alpha-KTx 6.12 (Anuroctoxin),Neurotoxin
Superstitionia donensis,Scorpion,Superstitionia_donensis_GFCD01_id_lcl|GFCD01000006.1_prot_JAV45779.1_1,A0A7S8MVN3,Putative sodium channel toxin Ts41 (Putative NaTx) (Putative lipolysis-activating peptide) (Tityustoxin-41),Neurotoxin
Superstitionia donensis,Scorpion,Superstitionia_donensis_GFCD01_id_lcl|GFCD01000009.1_prot_JAV45776.1_1,P0C166,Potassium channel toxin alpha-KTx 6.12 (Anuroctoxin),Neurotoxin
Superstitionia donensis,Scorpion,Superstitionia_donensis_GFCD01_id_lcl|GFCD01000018.1_prot_JAV45767.1_1,P0C166,Potassium channel toxin alpha-KTx 6.12 (Anuroctoxin),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000040.1.p1,P0C2V2,U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000010.1.p1,P0C2V2,U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000035.1.p1,P0C2V2,U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000027.1.p1,P0C2V2,U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000011.1.p1,Q75WG5,Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000052.1.p1,Q75WG5,Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000113.1.p1,Q75WG5,Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000029.1.p1,Q75WG5,Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000001.1.p1,Q75WG5,Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000037.1.p1,Q75WG5,Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000043.1.p1,Q75WG5,Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14),Neurotoxin
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000076.1.p1,W4VRV7,Toxin ICK-42,Other
Hadronyche infensa,Spider,Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000104.1.p1,W4VSC2,Peptide 1 (Prokineticin-1),Other
Hypsiglena sp.,Spider,Hypsiglena_sp._JMG-2014_GBSI01_id_lcl|GBSI01000046.1_prot_JAC96449.1_1,Q6T6T2,Disintegrin gabonin-2 (Bitisgabonin-2),Disintegrin
Hypsiglena sp.,Spider,Hypsiglena_sp._JMG-2014_GDBE01_id_lcl|GDBE01000046.1_prot_JAS04931.1_1,Q6T6T2,Disintegrin gabonin-2 (Bitisgabonin-2),Disintegrin
Hypsiglena sp.,Spider,Hypsiglena_sp._JMG-2014_GBSI01_id_lcl|GBSI01000043.1_prot_JAC96452.1_1,P0C7A9,Snake venom metalloproteinase bothrojaractivase (SVMP) (EC 3.4.24.-),Metalloproteinase
Hypsiglena sp.,Spider,Hypsiglena_sp._JMG-2014_GBSI01_id_lcl|GBSI01000044.1_prot_JAC96451.1_1,P0C7A9,Snake venom metalloproteinase bothrojaractivase (SVMP) (EC 3.4.24.-),Metalloproteinase
Hypsiglena sp.,Spider,Hypsiglena_sp._JMG-2014_GBSI01_id_lcl|GBSI01000045.1_prot_JAC96450.1_1,P0C7A9,Snake venom metalloproteinase bothrojaractivase (SVMP) (EC 3.4.24.-),Metalloproteinase
Hypsiglena sp.,Spider,Hypsiglena_sp._JMG-2014_GDBE01_id_lcl|GDBE01000044.1_prot_JAS04933.1_1,P0C7A9,Snake venom metalloproteinase bothrojaractivase (SVMP) (EC 3.4.24.-),Metalloproteinase
Latrodectus tredecimguttatus,Spider,Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01002790.1.p1,P0DM56,Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2),Protease inhibitor
Latrodectus tredecimguttatus,Spider,Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01002691.1.p1,P0DM56,Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2),Protease inhibitor
Latrodectus tredecimguttatus,Spider,Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01003495.1.p1,P0DM56,Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2),Protease inhibitor
Latrodectus tredecimguttatus,Spider,Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01007071.1.p1,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme),Serine protease
Latrodectus tredecimguttatus,Spider,Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01000593.1.p1,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme),Serine protease
Latrodectus tredecimguttatus,Spider,Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01002298.1.p1,A0A2R4SV19,Venom serine protease inhibitor (AcVSPI) (VSPI) (Allergen Api m 6-like peptide),Serine protease inhibitor
Latrodectus tredecimguttatus,Spider,Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01007681.1.p1,A0A2R4SV19,Venom serine protease inhibitor (AcVSPI) (VSPI) (Allergen Api m 6-like peptide),Serine protease inhibitor
Latrodectus tredecimguttatus,Spider,Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01009335.1.p1,D8VNT0,Ryncolin-4,Veficolin
Latrodectus tredecimguttatus,Spider,Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01009336.1.p1,D8VNT0,Ryncolin-4,Veficolin
Phoneutria nigriventer,Spider,Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01026673.1.p1,Q1HLC0,Hemolin (EC 3.4.21.-) (Lonomia obliqua Stuart factor activator) (Losac),Hemolin
Phoneutria nigriventer,Spider,Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01026672.1.p1,Q1HLC0,Hemolin (EC 3.4.21.-) (Lonomia obliqua Stuart factor activator) (Losac),Hemolin
Phoneutria nigriventer,Spider,Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01023789.1.p1,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme),Serine protease
Phoneutria nigriventer,Spider,Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01004349.1.p1,D8VNT0,Ryncolin-4,Veficolin
Hemiscolopendra marginata,Centipede,Hemiscolopendra_marginata_GHBY01.transdecoder.pep_id_GHBY01000671.1.p1,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8),Cysteine rich protein
Scolopendra morsitans,Centipede,Scolopendra_morsitans_GHKQ01.transdecoder.pep_id_GHKQ01000487.1.p1,P0DQE3,U-scoloptoxin(16)-Sa1a (U-SLPTX(16)-Sa1a),Cysteine rich protein
Scolopendra morsitans,Centipede,Scolopendra_morsitans_GHKQ01.transdecoder.pep_id_GHKQ01000536.1.p1,P0DQF3,U-scoloptoxin(21)-Sm2a (U-SLPTX(21)-Sm2a),Cysteine rich protein
Scolopendra morsitans,Centipede,Scolopendra_morsitans_GHKQ01.transdecoder.pep_id_GHKQ01000476.1.p1,P0DQG7,U-scoloptoxin(16)-Er13a (U-SLPTX(16)-Er13a),Cysteine rich protein
Scolopendra morsitans,Centipede,Scolopendra_morsitans_GHKQ01.transdecoder.pep_id_GHKQ01000484.1.p1,P0DQG7,U-scoloptoxin(16)-Er13a (U-SLPTX(16)-Er13a),Cysteine rich protein
Scolopocryptops sexspinosus,Centipede,Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000748.1.p1,B1P1J3,Cystatin-1 (Cystatin JZTX-75),Cysteine protease inhibitor
Scolopocryptops sexspinosus,Centipede,Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01001430.1.p1,P0DQG7,U-scoloptoxin(16)-Er13a (U-SLPTX(16)-Er13a),Cysteine rich protein
Scolopocryptops sexspinosus,Centipede,Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000754.1.p1,P84032,U24-ctenitoxin-Pn1a (U24-CNTX-Pn1a) (Venom protein PN16C3),Neurotoxin
Scolopocryptops sexspinosus,Centipede,Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01001145.1.p1,P0CJ14,Venom protein 302,Other
Scolopocryptops sexspinosus,Centipede,Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000948.1.p1,P0C8M2,Serine proteinase-like BMK-CBP,Serine protease
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023073.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023074.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01025285.1.p1,P0DPW5,U-scoloptoxin(01)-Cw1a (U-SLPTX(01)-Cw1a),Cysteine rich protein
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023313.1.p1,P67863,Snake venom vascular endothelial growth factor toxin vammin (svVEGF) (VEGF-F),Endothelial growth factor
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01027321.1.p1,P67863,Snake venom vascular endothelial growth factor toxin vammin (svVEGF) (VEGF-F),Endothelial growth factor
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01027322.1.p1,P67863,Snake venom vascular endothelial growth factor toxin vammin (svVEGF) (VEGF-F),Endothelial growth factor
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01027323.1.p1,P67863,Snake venom vascular endothelial growth factor toxin vammin (svVEGF) (VEGF-F),Endothelial growth factor
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043167.1.p2,Q1HLC0,Hemolin (EC 3.4.21.-) (Lonomia obliqua Stuart factor activator) (Losac),Hemolin
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043154.1.p1,Q1HLC0,Hemolin (EC 3.4.21.-) (Lonomia obliqua Stuart factor activator) (Losac),Hemolin
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01045436.1.p1,A0A1U9VX91,Glycerotoxin paralog 1 (GLTx paralog 1),Neurotoxin
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01040457.1.p1,P0DKP1,Turripeptide OL55-like,Neurotoxin
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01042270.1.p1,P0CJ14,Venom protein 302,Other
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01042273.1.p1,P0CJ14,Venom protein 302,Other
Ampulex compressa,Wasp and Ants,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01025719.1.p1,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme),Serine protease
Cotesia vestalis,Wasp and Ants,Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01001145.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Cotesia vestalis,Wasp and Ants,Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01000361.1.p1,P67863,Snake venom vascular endothelial growth factor toxin vammin (svVEGF) (VEGF-F),Endothelial growth factor
Cotesia vestalis,Wasp and Ants,Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01014859.1.p1,P0DJ47,Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2),Serine protease inhibitor
Cotesia vestalis,Wasp and Ants,Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01018445.1.p1,A7X4K1,Waprin-Phi1,Waprin
Diadromus collaris,Wasp and Ants,Diadromus_collaris_GAPR01.transdecoder.pep_id_GAPR01025338.1.p1,B1P1J3,Cystatin-1 (Cystatin JZTX-75),Cysteine protease inhibitor
Diadromus collaris,Wasp and Ants,Diadromus_collaris_GAPR01.transdecoder.pep_id_GAPR01000768.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Diadromus collaris,Wasp and Ants,Diadromus_collaris_GAPR01.transdecoder.pep_id_GAPR01027111.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Microplitis demolitor,Wasp and Ants,Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01008653.1.p1,J3RZ81,Putative endothelial lipase (EC 3.1.1.3),Lipase
Microplitis demolitor,Wasp and Ants,Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01002053.1.p2,P0DM55,Venom peptide SjAPI (Ascaris-type protease inhibitor),Protease inhibitor
Microplitis demolitor,Wasp and Ants,Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01002054.1.p2,P0DM55,Venom peptide SjAPI (Ascaris-type protease inhibitor),Protease inhibitor
Microplitis demolitor,Wasp and Ants,Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01000344.1.p1,Q5ECE3,Lopap (EC 3.4.21.-) (Lipocalin-1/4) (Prothrombin activator),prothrombin activator
Microplitis demolitor,Wasp and Ants,Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01000434.1.p1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Psyttalia concolor,Wasp and Ants,Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01014714.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Psyttalia concolor,Wasp and Ants,Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01009179.1.p1,A0A0F7Z3J2,Thyrostimulin alpha-2 subunit,Other
Psyttalia concolor,Wasp and Ants,Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01001469.1.p1,Q5EF78,Icarapin (Venom protein 2) (allergen Api m 10),other
Psyttalia concolor,Wasp and Ants,Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01013193.1.p1,Q5EF78,Icarapin (Venom protein 2) (allergen Api m 10),other
Psyttalia concolor,Wasp and Ants,Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01003446.1.p1,Q5EF78,Icarapin (Venom protein 2) (allergen Api m 10),other
Psyttalia concolor,Wasp and Ants,Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01003608.1.p1,Q5EF78,Icarapin (Venom protein 2) (allergen Api m 10),other
Pteromalus puparum,Wasp and Ants,Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01038761.1.p1,P0DPW5,U-scoloptoxin(01)-Cw1a (U-SLPTX(01)-Cw1a),Cysteine rich protein
